Title, Year, ID
"The Godfather: Part III", 1990
"Gods and Monsters", 1998
"Godzilla", 1954
"Going Clear: Scientology and the Prison of Belief", 2015
"Gold Diggers of 1933", 1933
"The Gold Rush", 1925
"The Golden Coach", 1952
"The Golden Thread", 1965
"GoldenEye", 1995
"Goldfinger", 1964
"Gomorrah", 2008
"Gone Baby Gone", 2007
"Gone Girl", 2014
"Gone With the Wind", 1939
"Good Burger", 1997
"Good Bye, Lenin!", 2003
"Good Dick", 2008
"Good Morning", 1959
"Good Morning, Vietnam", 1987
"Good Night, and Good Luck.", 2005
"Good Will Hunting", 1997
"The Good, the Bad and the Ugly", 1966
"The Good, the Bad, the Weird", 2008
"Goodbye, Dragon Inn", 2003
"Goodfellas", 1990
"The Goonies", 1985
"Gosford Park", 2001
"The Gospel According to Matthew", 1964
"Gozu", 2003
"The Graduate", 1967
"Gran Torino", 2008
"The Grand Budapest Hotel", 2014
"A Grand Day Out", 1990
"Grand Illusion", 1937
"The Grapes of Wrath", 1940
"Grave of the Fireflies", 1988
"Gravity", 2013
"Grease", 1978
"The Great Beauty", 2013
"The Great Debaters", 2007
"The Great Dictator", 1940
"The Great Escape", 1963
"Great Expectations", 1946
"The Great Silence", 1968
"The Great Train Robbery", 1903
"The Great White Silence", 1924
"Greed", 1924
"Green Book", 2018
"The Green Mile", 1999
"The Green Ray", 1986
"Green Room", 2016
"Gregory's Girl", 1981
"Gremlins", 1984
"Grey Gardens", 1975
"A Grin Without a Cat", 1977
"Grindhouse", 2007
"Grizzly Man", 2005
"Grosse Pointe Blank", 1997
"Groundhog Day", 1993
"Guardians of the Galaxy", 2014
"Guardians of the Galaxy Vol. 2", 2017
"Guess Who's Coming to Dinner", 1967
"A Guide to Recognizing Your Saints", 2006
"Gummo", 1997
"Gun Crazy", 1950
"Gunfight at the O.K. Corral", 1957
"Gunga Din", 1939
"The Guns of Navarone", 1961
"Guys and Dolls", 1955
"Hachi: A Dog's Tale", 2009
"Hacksaw Ridge", 2016
"Haider", 2014
"Hail the Conquering Hero", 1944
"Hail, Caesar!", 2016
